ID,Epic,User Story,As a,I want to,So that,Priority,Estimation,Status,Sprint,Acceptance Criteria,Definition of Done,Tags,Assignee,Created Date,Updated Date
BL-001,E1 - Gestion des données,Configuration environnement développement,Développeur,configurer l'environnement de développement avec Python et PostgreSQL,je puisse commencer le développement du projet,High,5,Done,Sprint 1,"Env Python 3.9+, PostgreSQL configuré, Git initialisé","Code versionné, documentation à jour",setup;environment,Dev Team,2025-01-15,2025-01-20
BL-002,E1 - Gestion des données,Modélisation base de données Merise,Développeur,créer le modèle conceptuel et physique de données selon Merise,la structure de la BDD soit conforme aux standards,High,8,Done,Sprint 1,"MCD/MLD créés, validation métier obtenue","Diagrammes validés, documentation Merise complète",database;modeling,Dev Team,2025-01-15,2025-01-22
BL-003,E1 - Gestion des données,Script extraction données Garmin,Développeur,développer un script d'extraction des données Garmin,récupérer automatiquement les données d'activités sportives,High,13,Done,Sprint 2,"Script fonctionnel, gestion erreurs, logging","Tests passés, documentation technique",data-extraction;garmin,Dev Team,2025-01-20,2025-02-05
BL-004,E1 - Gestion des données,Agrégation et nettoyage données,Développeur,créer des règles d'agrégation et de nettoyage des données,avoir un jeu de données homogène et exploitable,High,8,Done,Sprint 2,"Données normalisées, doublons supprimés, validation qualité","Pipeline testé, métriques qualité validées",data-processing;etl,Dev Team,2025-01-25,2025-02-08
BL-005,E1 - Gestion des données,API REST accès données,Développeur,développer une API REST pour l'accès aux données,exposer les données de manière sécurisée et documentée,High,13,Done,Sprint 3,"Endpoints CRUD, authentification, documentation OpenAPI","Tests API passés, sécurité validée",api;rest;security,Dev Team,2025-02-01,2025-02-15
BL-006,E1 - Gestion des données,Conformité RGPD,Data Protection Officer,mettre en place les procédures RGPD,assurer la conformité légale du traitement des données,High,8,Done,Sprint 3,"Registre des traitements, procédures de suppression, consentement","Validation juridique, documentation RGPD",rgpd;compliance,DPO,2025-02-05,2025-02-20
BL-007,E2 - Veille IA,Veille technologique LLM,Product Owner,organiser une veille sur les technologies LLM et agents IA,faire des choix techniques éclairés,Medium,5,Done,Sprint 4,"Sources fiables identifiées, synthèses régulières, critères évaluation","Rapport de veille, recommandations techniques",research;ai,PO,2025-02-10,2025-02-25
BL-008,E2 - Veille IA,Benchmark services IA,Architecte,comparer les services d'IA disponibles,sélectionner la solution la plus adaptée au projet,High,8,Done,Sprint 4,"Grille d'évaluation, analyse coûts/bénéfices, POC services","Choix technique validé, documentation benchmark",ai;benchmark,Architect,2025-02-15,2025-03-01
BL-009,E2 - Veille IA,Configuration service IA sélectionné,Développeur,configurer et intégrer le service d'IA choisi,avoir un service IA opérationnel pour le projet,High,13,Done,Sprint 5,"Service configuré, tests de base réussis, monitoring actif","Service en production, documentation configuration",ai;integration,Dev Team,2025-02-20,2025-03-08
BL-010,E3 - API IA,Développement API modèle IA,Développeur,créer une API exposant le modèle d'IA,permettre l'accès programmatique aux fonctionnalités IA,High,21,In Progress,Sprint 6,"Endpoints IA fonctionnels, authentification, gestion erreurs","Tests complets, sécurité OWASP validée",api;ai;security,Dev Team,2025-03-01,2025-03-15
BL-011,E3 - API IA,Tests automatisés API IA,QA Engineer,développer une suite de tests pour l'API IA,garantir la qualité et la fiabilité du service,High,13,To Do,Sprint 6,"Tests unitaires/intégration, couverture >80%, CI/CD","Pipeline de tests automatisé, rapports qualité",testing;qa;ci-cd,QA Team,2025-03-05,2025-03-10
BL-012,E3 - API IA,Monitoring modèle IA,DevOps,mettre en place le monitoring du modèle IA,surveiller les performances et détecter les anomalies,High,8,To Do,Sprint 7,"Métriques définies, dashboards, alertes configurées","Monitoring opérationnel, documentation procédures",monitoring;devops,DevOps,2025-03-08,2025-03-12
BL-013,E3 - API IA,Chaîne livraison continue IA,DevOps,créer une pipeline CI/CD pour le modèle IA,automatiser les déploiements et garantir la qualité,Medium,13,To Do,Sprint 7,"Pipeline CI/CD, tests auto, déploiement auto","Déploiements automatisés, rollback fonctionnel",ci-cd;automation,DevOps,2025-03-10,2025-03-15
BL-014,E4 - Application,Analyse besoins application,Business Analyst,analyser et modéliser les besoins utilisateurs,définir précisément les fonctionnalités à développer,High,8,Done,Sprint 8,"User stories détaillées, wireframes, critères acceptation","Spécifications validées, maquettes approuvées",analysis;ux,BA,2025-03-12,2025-03-20
BL-015,E4 - Application,Architecture technique application,Architecte,concevoir l'architecture technique de l'application,avoir un cadre technique solide et évolutif,High,13,In Progress,Sprint 8,"Diagrammes architecture, choix techniques, POC validé","Architecture documentée, décisions validées",architecture;technical,Architect,2025-03-15,2025-03-22
BL-016,E4 - Application,Coordination Agile équipe,Scrum Master,coordonner l'équipe selon la méthodologie Agile,assurer la livraison dans les délais avec la qualité requise,High,Ongoing,In Progress,All Sprints,"Rituels respectés, outils pilotage, communication équipe","Équipe autonome, vélocité stable, objectifs atteints",agile;scrum;coordination,SM,2025-01-15,2025-03-22
BL-017,E4 - Application,Interface Django coaching,Développeur Front,développer l'interface Django pour la génération de plans,permettre aux utilisateurs de créer des plans d'entraînement,High,21,To Do,Sprint 9,"Formulaires fonctionnels, génération plans, UX intuitive","Interface accessible, tests utilisateurs validés",frontend;django;coaching,Frontend,2025-03-18,2025-03-20
BL-018,E4 - Application,Interface Streamlit conversationnelle,Développeur Front,créer l'interface Streamlit pour les échanges avec l'IA,offrir une expérience conversationnelle aux utilisateurs avancés,Medium,13,To Do,Sprint 10,"Chat IA fonctionnel, historique conversations, export résultats","Interface responsive, tests A/B réalisés",frontend;streamlit;chat,Frontend,2025-03-20,2025-03-22
BL-019,E4 - Application,Gestion authentification utilisateurs,Développeur Back,implémenter la gestion des comptes utilisateurs,sécuriser l'accès et personnaliser l'expérience,High,13,To Do,Sprint 9,"Inscription/connexion, profils, droits d'accès, RGPD","Sécurité validée, tests pénétration OK",backend;auth;security,Backend,2025-03-22,2025-03-25
BL-020,E4 - Application,Intégration pipeline Garmin temporaire,Développeur Back,créer un pipeline de récupération temporaire Garmin,permettre l'analyse des données sans stockage permanent,Medium,21,To Do,Sprint 11,"Connexion Garmin sécurisée, traitement temps réel, suppression auto","Conformité RGPD, tests de charge OK",integration;garmin;rgpd,Backend,2025-03-25,2025-03-28
BL-021,E4 - Application,Tests automatisés application,QA Engineer,développer les tests automatisés de l'application,garantir la qualité et la non-régression,High,13,To Do,Sprint 12,"Tests E2E, tests performance, couverture >85%","Pipeline de tests stable, rapports automatiques",testing;automation;qa,QA Team,2025-03-28,2025-04-01
BL-022,E4 - Application,Chaîne CI/CD application,DevOps,créer la pipeline de déploiement de l'application,automatiser les déploiements et les tests,High,13,To Do,Sprint 12,"Pipeline complète, tests auto, déploiement multi-env","Déploiements fiables, monitoring intégré",ci-cd;deployment,DevOps,2025-04-01,2025-04-05
BL-023,E5 - Monitoring,Surveillance application IA,DevOps,mettre en place le monitoring de l'application complète,surveiller les performances globales du système,High,13,To Do,Sprint 13,"Métriques business/tech, dashboards Grafana, alertes","Monitoring 24/7, procédures escalade",monitoring;observability,DevOps,2025-04-05,2025-04-08
BL-024,E5 - Monitoring,Résolution incidents techniques,Support,développer les procédures de résolution d'incidents,assurer la continuité de service et la maintenance,Medium,8,To Do,Sprint 13,"Procédures debugging, outils diagnostic, documentation","Temps résolution <2h, knowledge base à jour",support;maintenance;incident,Support,2025-04-08,2025-04-12
BL-025,Amélioration continue,Optimisation performances IA,Développeur,optimiser les temps de réponse du modèle IA,améliorer l'expérience utilisateur,Medium,8,Backlog,Future,"Temps réponse <3s, cache intelligent, optimisation requêtes","Performances mesurées, SLA respecté",performance;optimization,Dev Team,2025-04-10,2025-04-10
BL-026,Amélioration continue,Intégration nouveaux services IA,Développeur,ajouter le support d'autres services IA,offrir plus de choix et de résilience,Low,21,Backlog,Future,"Multi-providers, fallback automatique, comparaison résultats","Documentation API, tests compatibilité",integration;multi-provider,Dev Team,2025-04-12,2025-04-12
BL-027,Amélioration continue,Analytics usage utilisateurs,Data Analyst,implémenter l'analytics d'usage de l'application,comprendre les comportements et optimiser l'UX,Medium,13,Backlog,Future,"Tracking événements, dashboards usage, insights UX","RGPD compliant, rapports automatiques",analytics;ux;data,Data Team,2025-04-15,2025-04-15
BL-028,Amélioration continue,Mobile responsive design,Développeur Front,adapter les interfaces pour mobile,permettre l'usage sur smartphone et tablette,Medium,13,Backlog,Future,"Design responsive, PWA, tests multi-device","Compatible iOS/Android, performances mobiles OK",mobile;responsive;pwa,Frontend,2025-04-18,2025-04-18
